Address,Award,Comments,Cuisine,FacilitiesAndServices,Hour,Location,Name,PhoneNumber,Price,Url,WebsiteUrl,_id,coord
"strada Micura de Rue 20, San Cassiano, 39030, Italy",0,1473968,"Creative, Alpine","American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",3,"San Cassiano, Italy",St. Hubertus,+390471849500,€€€€,https://guide.michelin.com/en/trentino-alto-adige/san-cassiano/restaurant/st-hubertus,http://www.st-hubertus.it,63da3c3e3edd49a903f16271,"[11.9305901,46.5717631]"
"via Stella 22, Modena, 41121, Italy",3,2066251,Creative,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",18,"Modena, Italy",Osteria Francescana,+39059223912,€€€€,https://guide.michelin.com/en/emilia-romagna/modena/restaurant/osteria-francescana,http://osteriafrancescana.it,63da3c3e3edd49a903f16272,"[10.9215518,44.6448099]"
"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy",1,8721791,"Creative, Contemporary","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",8,"Castel di Sangro, Italy",Reale,+39086469382,€€€€,https://guide.michelin.com/en/abruzzo/castel-di-sangro/restaurant/reale,http://www.nikoromito.com/reale,63da3c3e3edd49a903f16273,"[14.10107,41.77379]"
"via Ghibellina 87, Florence, 50122, Italy",4,7542077,Modern Cuisine,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card",5,"Florence, Italy",Enoteca Pinchiorri,+3905526311,€€€€,https://guide.michelin.com/en/toscana/firenze/restaurant/enoteca-pinchiorri,http://www.enotecapinchiorri.it,63da3c3e3edd49a903f16274,"[11.2621974,43.770066]"
"via Fava 18, Orta San Giulio, 28016, Italy",1,4923204,"Creative, Mediterranean Cuisine","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",12,"Orta San Giulio, Italy",Villa Crespi,+390322911902,€€€€,https://guide.michelin.com/en/piemonte/orta-san-giulio/restaurant/villa-crespi,http://www.villacrespi.it,63da3c3e3edd49a903f16275,"[8.4159486,45.7964778]"
"località Runate 15, Runate, 46013, Italy",2,5720657,"Modern Cuisine, Italian","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",17,"Runate, Italy",Dal Pescatore,+390376723001,€€€€,https://guide.michelin.com/en/lombardia/runate/restaurant/dal-pescatore,http://www.dalpescatore.com,63da3c3e3edd49a903f16276,"[10.3565788,45.1712728]"
"via Cantalupa 17, Brusaporto, 24060, Italy",1,1517567,Modern Cuisine,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",10,"Brusaporto, Italy",Da Vittorio,+39035681024,€€€€,https://guide.michelin.com/en/lombardia/brusaporto/restaurant/da-vittorio,http://www.davittorio.com,63da3c3e3edd49a903f16277,"[9.7692511,45.6756778]"
"via Cadlolo 101, Rome, 00136, Italy",1,3442983,Modern Cuisine,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",12,"Rome, Italy",La Pergola,+390635092152,€€€€,https://guide.michelin.com/en/lazio/roma/restaurant/la-pergola69016,http://romecavalieri.com/la-pergola,63da3c3e3edd49a903f16278,"[12.4461151,41.9187946]"
"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy",1,5725869,"Creative, Modern Cuisine","Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",11,"Alba, Italy",Piazza Duomo,+390173366167,€€€€,https://guide.michelin.com/en/piemonte/alba/restaurant/piazza-duomo,http://www.piazzaduomoalba.it,63da3c3e3edd49a903f16279,"[8.0359341,44.7005555]"
"banchina di Levante 6, Senigallia, 60019, Italy",0,4510044,"Creative, Seafood","Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",9,"Senigallia, Italy",Uliassi,+3907165463,€€€€,https://guide.michelin.com/en/marche/senigallia/restaurant/uliassi,http://www.uliassi.com,63da3c3e3edd49a903f1627a,"[13.2206503,43.7194609]"
"via Liguria 1, località Sarmeola, Rubano, 35030, Italy",4,4263517,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card",8,"Rubano, Italy",Le Calandre,+39049630303,€€€€,https://guide.michelin.com/en/veneto/rubano/restaurant/le-calandre,http://alajmo.it,63da3c3e3edd49a903f1627b,"[11.8096633,45.4215425]"
"via Tortona 56, Milan, 20144, Italy",3,1598362,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",9,"Milan, Italy",Enrico Bartolini al Mudec,+390284293701,€€€€,https://guide.michelin.com/en/lombardia/milano/restaurant/enrico-bartolini-al-mudec,http://www.enricobartolini.net,63da3c3e3edd49a903f1627c,"[9.161865,45.4516]"
"Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland",0,6931152,"Creative, Market Cuisine","Air conditioning,American Express credit card,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",0,"Bad Ragaz, Switzerland",Memories,+41813033036,€€€€,https://guide.michelin.com/en/sankt-gallen-region/bad-ragaz/restaurant/memories,https://memories.ch/,63da3c3e3edd49a903f1627d,"[9.5037741,47.0002941]"
