_id,Name,Address,Location,Price,Cuisine,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Hour,coord,Comments
ObjectId(63da3cd93edd49a903f17885),L'Entretien,"Chaussée de Namur 258, Leuze, 5310, Belgium","Leuze, Belgium",€€,"Modern French, Seasonal Cuisine",+3281513312,https://guide.michelin.com/en/hainaut/leuze/restaurant/l-entretien,https://www.lentretien.be,3,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",16,"[4.906388,50.5489778]",599227
ObjectId(63da3cd93edd49a903f17886),Le Sixième,"Avenue Fernand Charlot 2, Jodoigne, 1370, Belgium","Jodoigne, Belgium",€€,Modern Cuisine,+3210451001,https://guide.michelin.com/en/brabant-wallon/jodoigne/restaurant/le-sixieme,https://www.lesixieme.com/,2,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",9,"[4.8712735,50.7233367]",7.499304e+06
ObjectId(63da3cd93edd49a903f17887),Bistrot Benoit,"Zirkstraat 23, Antwerpen, 2000, Belgium","Antwerpen, Belgium",€€,Classic Cuisine,+3232269220,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/bistrot-benoit,https://www.bistrot-benoit.be,3,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",9,"[4.4009164,51.2230939]",3.458481e+06
ObjectId(63da3cd93edd49a903f17888),Le Grand Pré,"Rue du Grand Pré 13A, Erquelinnes, 6560, Belgium","Erquelinnes, Belgium",€€,"Seasonal Cuisine, French",+3271555078,https://guide.michelin.com/en/hainaut/erquelinnes/restaurant/le-grand-pre,http://www.legrandpre.be/,0,"Car park,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card",15,"[4.1784848,50.2928918]",3.217136e+06
ObjectId(63da3cd93edd49a903f17889),Jeux de Goûts,"Rue de Bohan 91, Orchimont, 5550, Belgium","Orchimont, Belgium",€€,"Seasonal Cuisine, Country cooking",+3261415095,https://guide.michelin.com/en/namur/orchimont/restaurant/jeux-de-gouts,https://jeuxdegouts.be,4,"Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card",6,"[4.8871946,49.8923622]",909778
ObjectId(63da3cd93edd49a903f1788a),Bar Bask,"Edward Pynaertkaai 115, Gent, 9000, Belgium","Gent, Belgium",€€,Spanish Contemporary,+3293116974,https://guide.michelin.com/en/oost-vlaanderen/gent/restaurant/bar-bask,https://barbask.be,4,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",16,"[3.7403467,51.0417296]",7.67688e+06
ObjectId(63da3cd93edd49a903f1788b),Sanukiudon Kirakuan,"6-1-9 Ayameike Minami, Nara, Nara, 631-0033, Japan","Nara, Japan",¥,Udon,+81742456788,https://guide.michelin.com/en/nara-region/nara/restaurant/sanukiudon-kirakuan,,1,"Cash only,Counter dining",11,"[135.761872,34.696516]",7.522823e+06
ObjectId(63da3cd93edd49a903f1788c),Unagino Toyokawa,"3-3-12 Tomio Motomachi, Nara, Nara, 631-0078, Japan","Nara, Japan",¥¥,Unagi / Freshwater Eel,+81742518171,https://guide.michelin.com/en/nara-region/nara/restaurant/unagino-toyokawa,,4,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",1,"[135.732245,34.69246]",760253
ObjectId(63da3cd93edd49a903f1788d),Shikinoaji Enzu,"6-5-14 Omiyacho, Nara, Nara, 630-8115, Japan","Nara, Japan",¥¥,Japanese,+81742360634,https://guide.michelin.com/en/nara-region/nara/restaurant/shikinoaji-enzu,,1,"Air conditioning,Counter dining,Credit card / Debit card accepted,Shoes must be removed",5,"[135.807866,34.685666]",2.528274e+06
ObjectId(63da3cd93edd49a903f1788e),Sosakukushinomise Rindo,"224-1 Tsujimachi, Ikoma, Nara, 630-0212, Japan","Nara, Japan",¥¥,Kushiage,+81743846669,https://guide.michelin.com/en/nara-region/nara/restaurant/sosakukushinomise-rindo,,4,"Air conditioning,American Express credit card,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",13,"[135.707086,34.694948]",8.167341e+06
